Season,Tm07,Tm08,Tm09,Player,Player,Pos,GP,G,A,PTS,+/-,PIM,SOG,SPCT,SHFT,GWG,GTG,FOW,FOL,FO%,%Tm,PPG,PPA,SHG,SHA,ESG,ESA,PPG,PPA,SHG,SHA,ESG,ESA,ESGFA,PPGFA,SHGFA,ESGAA,PPGAA,SHGAA,MOIEH,MOIPP,MOISH,TMOI,BkS,Hits,MsS,GvA,TkA,BkS,Hits,MsS,GvA,TkA,AESMOI,ASHMOI,APPMOI,PLEH,PLPP,PLSH,PLT,MIEH,MIPP,MISH,MIT,PC,PC*,PCOEH,PCOPPP,PCOPPO,PCOSH,PCOSO,PCO,PCO*,PCDEH,PCDPP,PCDSHK,PCDSHO,PCD,PCD*,Def,Value,WiS Value,OGIT,DIT,RPM,Val OG,ValO,Val D,ValD,Tot,Date of Birth,City,Pr/St,Ctry,Ht,Wgt,Jersey,Shts,Rook,S-O,S-OG,S-OGW,Cap Cost,Nat
2007-08,,Ana,Ana,"Ebbett, Andrew ",Andrew Ebbett,LW/C,3,0,0,0,3,2,3,0.0%,,0,0,17,12,58.6%,15.2,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,31,8.9,0,39.9,2,0,2,1,1,3,0,3,1.5,1.5,10.3,0,3,3,0,0,3,0,0,0,0,-0.9,-44.3,-0.8,-0.5,0,0,0,-1.3,-65,0.5,0,0,-0.2,0.4,20.7,,,"$165,000",0.9,0.9,2.7,-0.4,-16.4,0.6,24.6,0.1,Jan 02 '83 ,Vernon ,BC ,CAN ,69,175,48,L ,Y ,,,,"$570,000",0
2007-08,,Ana,Ana,"Ryan, Bobby ",Bobby Ryan,RW,23,5,5,10,-1,6,37,13.5%,,0,0,1,0,100.0%,0,3,1,0,0,2,4,15.2,5.1,0,0,12.2,24.4,2.13,5.07,0,2.13,1.01,0,197.1,59.1,2.8,259.1,5,20,12,7,11,1.2,4.6,2.8,1.6,2.5,8.6,0.1,2.6,7,5,0,12,7,1,0,8,6.8,52.4,3.7,3.4,0.5,0,-3.4,4.2,32.2,1.6,0,0.2,0.8,2.6,20.2,66,1038174,"$3,701,316",6.5,5.1,-1.7,0.9,5.6,0.1,0.6,0.3,Mar 17 '87 ,Cherry Hill ,NJ ,USA ,73,218,54,R ,Y ,,,,"$1,921,667",0
2006-07,Col,Ana,Ana,"May, Brad ",Brad May,LW,10,0,3,3,0,8,11,0.0%,176,0,0,0,0,0.0%,,0,0,0,0,0,3,0,0,0,0,0,31.7,2.64,0,0,2.64,0,0,113.6,1.1,0,114.7,,,,,,0,0,0,0,0,11.4,0,0.1,5,0,0,5,5,0,0,5,-1.2,-21,-0.6,-0.1,0,0,0,-0.7,-11.8,0.8,0,0,-1.4,-0.5,-9.3,,,"$165,000",2.4,2.3,-0.2,-0.2,-3.5,0.2,3.5,-0.1,,,,,,,,,,,,,,1
2006-07,Ana,Ana,Ana,"May, Brad ",Brad May,LW,14,0,1,1,-1,13,11,0.0%,173,0,0,0,0,0.0%,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,1.49,0,0,120.5,0.6,0.2,121.2,29,6,10,9,4,14.4,3,5,4.5,2,8.6,0,0,2,0,0,2,3,0,0,3,-1.3,-22.1,-1.9,0,0,0,0,-1.9,-31.7,1.6,0,0,-1,0.6,9.6,,,"$165,000",2,1.9,-1.4,-0.7,-11.5,-0.1,-1.6,-0.7,29 Nov '71 ,Toronto ,ON ,CAN ,73,220,24,L ,N,0,0,0,,1
2006-07,Ana,Ana,Ana,"May, Brad ",Brad May,LW,24,0,4,4,-1,21,22,0.0%,349,0,0,0,0,0.0%,0,0,0,0,0,0,4,0,0,0,0,0,20.5,1.79,0,0,2.05,0,0,234,1.7,0.2,235.9,6,29,10,9,4,1.5,7.4,2.5,2.3,1,9.8,0,0.1,7,0,0,7,8,0,0,8,-2.5,-21.6,-2.5,-0.1,0,0,0,-2.6,-22,2.4,0,0,-2.4,0,0.4,0,0,"$165,000",4.4,4.2,-1.6,-0.5,-4.2,0,0,-0.5,29 Nov '71 ,Toronto ,ON ,CAN ,73,220,24,L ,N,0,0,0,,2
2007-08,Ana,Ana,Ana,"May, Brad ",Brad May,LW,61,3,1,4,2,53,34,8.8%,,2,0,0,3,0.0%,0,0,0,0,0,3,1,0,0,0,0,9,3,1.66,0,0,1.35,0,0,398.7,1.4,3.9,403.9,3,39,13,7,5,0.4,5.8,1.9,1,0.7,6.5,0.1,0,11,0,0,11,9,0,0,9,0.2,1.1,-2.9,-0.1,-0.7,0,0,-3.7,-18.2,4.6,0,0.3,-1,3.9,19.3,63,785588,"$1,056,036",9.3,8.8,0.2,-2.5,-12.2,0.9,4.4,-1.6,Nov 29 '71 ,Toronto ,ON ,CAN ,73,218,24,L ,,,,,"$600,000",0
2006-07,Van,Van,Ana,"Morrison, Brendan ",Brendan Morrison,C ,82,20,31,51,-9,60,139,14.4%,1887,3,0,625,605,50.8%,26,6,12,2,0,12,19,6.4,12.9,3.2,0,14.3,22.6,2.15,6.44,0.65,2.74,0.64,5.49,1006.7,279.7,186,1472.3,33,20,61,39,49,1.3,0.8,2.5,1.6,2,12.3,2.3,3.4,36,30,2,68,46,3,17,66,58.1,78.9,17.1,8.1,0.2,3.2,16.7,45.3,61.5,6.6,0.2,7.3,-1.3,12.8,17.4,52,3035124,"$3,035,124",32.9,32,-11.5,2.9,3,1.2,1.2,4.2,15 Aug '75 ,Pitt Meadows ,BC ,CAN ,71,181,7,L ,N,9,6,0,,0
2007-08,Van,Van,Ana,"Morrison, Brendan ",Brendan Morrison,C,39,9,16,25,-3,18,54,16.7%,,3,0,167,203,45.1%,17,3,11,0,0,6,5,6.9,25.2,0,0,16.9,14,1.97,7.79,0,1.97,1.38,2.88,427.3,130.9,41.7,599.8,13,17,22,20,15,1.3,1.7,2.2,2,1.5,11,1.1,3.4,14,17,0,31,14,3,2,19,18.9,62.9,6.6,9,-1.9,-0.5,-2.4,10.8,35.9,3.9,0,3.3,0.9,8.1,27,55,1846819,"$3,883,055",14,10.5,-1.6,3,7.8,0.4,1,2.6,Aug 15 '75 ,Pitt Meadows ,BC ,CAN ,71,181,7,L ,,,,,"$3,200,000",0
2006-07,Was,Was,Ana,"Sutherby, Brian ",Brian Sutherby,C ,69,7,10,17,-9,78,87,8.0%,1434,0,0,382,380,50.1%,17.6,1,0,0,0,6,10,18.7,0,0,0,10.1,16.8,1.76,3.74,0.56,2.77,0,4.22,715.2,16.1,213.4,944.6,46,60,35,16,27,2.9,3.8,2.2,1,1.7,10.4,3.1,0.2,21,1,2,24,33,0,15,48,20.8,44.1,5.2,1.1,0.1,-2.6,0,3.8,8.1,4.8,0.1,13.4,-1.3,17,36,32,165000,"$165,000",15.5,18.4,-7.7,-0.8,-1.4,-0.6,-1,-1.4,01 Mar '82 ,Edmonton ,AB ,CAN ,75,215,16,L ,N,0,0,0,,0
2007-08,Was,Ana,Ana,"Sutherby, Brian ",Brian Sutherby,C,45,0,1,1,-2,57,46,0.0%,,,,116,139,45.5%,,,,,,,,0,0,0,0,0,0,0.75,0,0,1.12,0,2.53,320.8,3.4,71.2,395.4,,,,,,0,0,0,0,0,7.1,1.6,0.1,4,0,0,4,6,0,3,9,0.4,1.9,-7.2,-0.2,-0.3,-0.8,0,-8.5,-43,4.1,0,4.4,0.4,8.9,44.9,55,165000,"$165,000",,,,,,,,,,,,,,,,,,,,,"$800,000",1
