J#,DOB,City,Prov,Ctry,Ht,Wt,S,Rook,Player,09-10 Team,10-11 Team,Pos,GP,G,A,PTS,+/-,PIM,Min,Maj,Misc,Game,Match,ESG,ESA,PPG,PPA,SHG,SHA,GWG,OTG,Shot,Hits,BkS,MsS,GvA,TkA,FOW,FOL,%Tm,TMOI,SHTOI,PPTOI,Shift,WiS$,Def,OGIT,DIT,RPM,ValO,ValD,ValS,GVT,PC,PCOES,PCOPP,PCOSH,PCOTR,PCOSO,PCO,PCDES,PCDPP,PCDSH,PCDTR,PCD,ESTOI/60,ESTOF/60,ESG,ESSH,ESMS,ESDIST,SlG,SlSH,SlMS,SlDIST,SnG,SnSH,SnMS,SnDIST,WrG,WrSH,WrMS,WrDist,ESBlkA,ESBlkF,BA/60,BF/60,BFON/60,BAON/60,BFOFF/60,BAOFF/60,PenT,PenD,PenT/60,PenD/60,PFON/60,PAON/60,PFOFF/60,PAOFF/60,RATING,QUALCOMP,QUALTEAM,CORSI Rel QoC,CORSI QoC,CORSI Rel QoT,CORSI QoT,CORSI REL,CORSI ON,CORSI OFF,SPCT,SVPCT,PDO,GFON/60,GAON/60,SFON/60,SAON/60,MFON/60,MAON/60,BFON/60,BAON/60,GFOFF/60,GAOFF/60,SFOFF/60,SAOFF/60,MFOFF/60,MAOFF/60,OFF W,OFF L,DEF W,DEF L,NEU W,NEU L,OPCT,OFIN,DFIN,NFIN,OPCT,ASST1/60,ASST2/60,GFON,GAON,+-ON/60,+-OFF/60,PPTOI/60,PPTOF/60,PPRATING,PPQUALCOMP,PPQUALTEAM,PP CORSI Rel QoC,PPCORSI QoC,PP CORSI Rel QoT,PP CORSI QoT,PPASST1/60,PPASST2/60,PPGFON,PPGAON,PPGFON/60,PPGAON/60,PP+-ON/60,PPGFOFF/60,PPGAOFF/60,PP+-OFF/60,SHTOI/60,SHTOF/60,SHRATING,SHQUALCOMP,SHQUALTEAM,SHCORSI Rel QoC,SHCORSI QoC,SHCORSI Rel QoT,SHCORSI QoT,SHASST1/60,SHASST2/60,SHGFON,SHGAON,SHGFON/60,SHGAON/60,SH+-ON/60,SHGFOFF/60,SHGAOFF/60,SH+-OFF/60,FA Status,Cap,CAPHIT,Salary,GVS,VGP,VG,VA,VOGVT,VDGVT,VSGVT,VGVS,VErrGP,VErrG,VErrA,VErrOGVT,VErrDGVT,VErrSGVT,5v5RawDelta,5v5Delta,5v5DeltaQS,5v5DeltaQO,5v5DeltaQT,5v5DeltaSOT,4v4RawDelta,4v4Delta,4v4DeltaQS,4v4DeltaQO,4v4DeltaQT,4v4DeltaSOT,5v4RawDelta,5v4Delta,5v4DeltaQS,5v4DeltaQO,5v4DeltaQT,5v4DeltaSOT,4v5RawDelta,4v5Delta,4v5DeltaQS,4v5DeltaQO,4v5DeltaQT,4v5DeltaSOT
63,Apr 20 '88 ,Hartford ,CT ,USA ,73,180,L ,Y ,Nick Bonino ,ANA ,ANA,C ,9,1,1,2,0,6,3,0,0,0,0,0,1,1,0,0,0,0,0,14,4,3,4,2,4,34,44,15.7,6428,0,1202,159,,,2.4,1.7,0.5,-0.2,0.1,0,-0.1,0.9,-0.4,1.2,0,-0.5,0,0.3,1.3,0.1,0,-0.7,0.7,11.7,36.35,0,11,2,20.1,0,0,0,NaN,0,3,1,29,0,5,0,21,3,3,1.7,1.7,11.4,13.1,11.4,10.1,2,0,1.1,0,4,3.4,4,3.5,-0.37,-0.122,0.085,-0.701,-4.648,4.018,-3.331,-7.9,-11.4,-3.48,6,950,1010,1.71,1.71,26.8,32.5,10.8,18.2,3.12,2.75,27.7,32.1,12.7,10.8,11.4,10.1,9,18,13,7,10,15,57.4,36,39,21,48,0.6,0,3,3,0,0.37,2.3,3.21,-3.77,2.48,0.26,-5.61,-77.48,-2.22,82.01,0,0,3,0,8.69,0,8.69,12.46,0,12.46,,,,,,,,,,,,,,,,,,,, ,0.9,0.875, ,-0.4,29,5,6,0.5,0.7,0,0,23.5,4.6,5.5,1.2,0.7,0,-0.8,-0.8,0,-0.1,0.2,-0.8,0,0,0,0,0,0,1.9,0.5,0.1,-0.1,-0.2,0.3,0,0,0,0,0,0
20,Aug 03 '83 ,White Bear Lake ,MN ,USA ,74,200,L ,,Ryan Carter ,ANA ,ANA,C ,38,4,5,9,0,31,13,1,0,0,0,4,4,0,0,0,1,1,0,38,51,6,15,3,3,116,105,10.5,19802,2047,547,532,347981,40.6,7.9,8.2,0,0.1,0.5,0,0.6,6,5.5,-0.6,0.6,0.2,0,5.8,2.5,0,2.6,-4.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,-0.133,-0.024,-1.005,-0.444,-2.975,-8.576,-7.4,-15.99,-8.58,8.97,926,1016,2.36,2.54,24,32,10.9,16.4,2.61,2.4,26.4,32,10.8,14,11.7,11.7,47,41,43,28,63,54,55.3,98,109,98,47.3,0.6,0.2,13,14,-0.18,0.21,0.26,5.65,-3.63,1.3,-1.01,-6.06,-79.05,-6.79,78.04,0,0,0,0,0,0,0,5.31,1.68,3.63,0.88,5.19,5.19,0.7,0.23,1.27,83.3,3.86,-82.57,1.8,0,1,2,1.8,3.61,-1.8,1.22,8.21,-7, ,0.6,0.625, ,0.1,45,6,8,0,1,0,0.2,19.7,4.4,5.6,1.4,0.8,0,-5.1,-5.1,-0.6,-1.3,1.5,-5.4,0,0,0,0,0,0,0.9,0,0,0.1,-0.1,0,-1.2,1.4,-0.1,-0.3,-0.1,1
28,Feb 19 '86 ,Westlock ,AB ,CAN ,74,206,L ,,Kyle Chipchura ,"MTL, ANA ",ANA,C ,74,6,6,12,-12,72,11,10,0,0,0,5,5,0,0,1,1,1,0,54,63,28,18,27,23,378,398,18.9,41581,9066,305,1264,486666,40,15,19.2,-13.4,-1.7,0.1,0,-1.5,12.2,-0.4,-0.3,1.4,-0.3,0,0.4,4.5,0,6.3,0.9,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.49,-0.032,-0.399,-0.287,-0.001,-4.567,-9.862,-6.9,-9.47,-2.6,5.76,915,973,1.48,2.69,24.2,29.1,11.2,12.9,2.81,2.53,26.4,28.5,11.1,12.5,12.5,13.2,90,95,104,108,140,123,46.6,221,264,207,45.6,0.3,0.2,17,31,-1.22,0.28,0.07,5.36,-4.99,1,-2.28,-1.39,-83.56,-11.45,75.26,0,0,0,0,0,0,0,5.89,0.91,4.99,1.99,3.58,1.96,0.45,-1.14,0.03,84.71,-5.46,-87.87,0.4,0,2,15,0.81,6.11,-5.29,0.68,7.93,-7.25,RFA ,0.7,0.5,0.5,-0.7,58,5,6,-1.6,0.7,0,-0.5,18.3,4,5,1.5,0.7,0,-4,-4,0.1,-0.6,3.6,-1,0.2,0.2,0,0,0,0.1,0.1,-0.3,0.1,-0.1,0,-0.3,-14.5,-1.4,0.6,0.7,0.1,0
15,May 10 '85 ,Regina ,SK ,CAN ,76,220,R ,,Ryan Getzlaf ,ANA ,ANA,C ,66,19,50,69,4,79,32,3,0,0,0,11,36,8,14,0,0,5,0,149,178,49,68,54,39,533,591,30.5,68404,2046,15300,1671,2558223,44.2,34.2,28.6,9.1,10.2,2.1,1.1,13.4,59.8,32.1,16.9,-0.4,-2.9,15.7,61.4,6.9,-0.1,-1.1,-7.3,-1.7,16.39,29.92,11,86,36,33.4,1,11,4,42.4,2,23,9,38.4,6,36,15,31.3,35,35,1.9,1.9,10,12.4,12.3,10.4,24,10,1.3,0.6,4.7,4.5,4.2,3.6,0.84,0.051,0.152,0.348,1.246,5.2,-2.712,10.7,2.05,-8.63,10.89,905,1014,3.38,2.94,27.7,28.1,11.8,12.1,1.88,2.28,24.9,29.1,10.7,12.8,12.3,10.4,103,164,130,147,188,180,49.1,365,338,352,51.9,1.2,0.7,61,53,0.44,-0.39,3.61,2.16,0.31,2.82,1.71,16.12,-86.51,6.55,87.99,2.5,0.3,27,4,6.8,1.01,5.8,6.33,0.84,5.48,0.52,5.56,-4.36,0.26,0.41,0,80.69,6.72,-79.28,0,0,0,6,0,10.57,-10.57,0.82,7.03,-6.21, ,5.3,5.325, ,-0.3,71,24,52,11.5,2.9,0.2,0.1,11.5,7.1,13.4,3.7,1.3,0.5,-0.4,-0.4,1,1.9,2,4.6,-0.2,-0.2,0,0,0,-0.2,25,2.4,-0.1,-0.3,-1.8,0.2,-3.8,-0.8,0,0.5,-0.1,-0.4
11,Nov 23 '74 ,Turku ,,FIN ,70,178,L ,,Saku Koivu ,ANA ,ANA,C ,71,19,33,52,14,36,18,0,0,0,0,13,20,5,11,1,2,6,2,124,59,17,38,42,31,571,539,28.2,59587,8889,10627,1797,3512840,56.9,27.3,26.2,16.4,7.8,2.7,0,10.5,55.6,23.6,10.3,3.2,-1.4,3.1,38.8,10.2,-0.4,6.2,0.8,16.8,13.24,33.5,11,59,25,23.2,1,9,5,34.1,0,9,2,41.7,5,20,12,20.1,26,11,1.7,0.7,10.1,12.5,11.8,10.4,12,15,0.8,1,3.8,4.6,4.4,3.5,1.31,0.012,0.182,0.527,0.871,4.771,-2.516,12.9,3.51,-9.41,9.18,937,1029,2.94,1.98,29,29.6,11.9,11.2,2.22,2.57,25.9,30.2,10.5,13.9,11.8,10.4,141,127,135,136,129,152,49.7,303,296,277,50.6,0.6,0.5,46,31,0.96,-0.35,2.37,3.23,-0.21,1,0.29,-3.31,-81.85,3.21,85.85,1.8,1.4,21,4,7.49,1.43,6.06,7.06,0.78,6.27,2.05,3.89,3.02,0.41,-0.15,1.91,83.09,-0.65,-85.81,0.4,0.4,3,12,1.24,4.95,-3.71,0.87,7.6,-6.73,UFA ,2.5,3.25,3.25,1.5,64,15,28,5.3,2.1,0,0.5,12.9,6.2,9.7,2.9,1,0.1,-3.6,-3.6,-0.1,1.7,3,1,0.6,0.6,-0.2,-0.2,-0.2,0,17.7,2.3,0.1,0.3,-1.6,1.2,-15.2,-1.4,0.8,0.3,-0.1,-0.4
22,Aug 12 '73 ,Buffalo ,NY ,USA ,70,179,L ,,Todd Marchant ,ANA ,ANA,C ,78,9,13,22,-16,32,16,0,0,0,0,6,13,0,0,3,0,1,0,83,127,69,31,11,29,284,285,13.1,57609,15840,480,1761,1131863,44.7,20.5,30.9,-20,-0.4,0.3,0,-0.2,13.3,0.8,-0.5,3.6,-2.8,0,1.1,5.3,0,5.5,1.3,12.2,11.76,34.9,5,61,24,27.6,1,13,5,42.2,1,9,1,31.9,2,18,7,28.2,16,44,1,2.9,14.1,10,10.5,11.4,11,10,0.7,0.7,4.6,3.2,4.2,4.1,-1.53,0.031,-0.341,0.609,1.221,-2.436,-7.764,-18.4,-19.95,-1.52,7.54,911,987,1.7,2.94,20.9,30.2,9.5,14.8,2.67,2.38,27.9,29.2,11.2,12.5,10.5,11.4,104,100,153,200,183,166,36.6,282,334,295,45.8,0.3,0.6,26,45,-1.24,0.29,0.12,5.59,-5.65,1.39,-1.31,6.61,-76.12,-9.37,75.9,0,0,0,0,0,0,0,6.89,1.24,5.65,3.23,2.73,-3.65,-0.24,-0.07,-1.6,86.48,-2.02,-87.42,0,0,4,37,0.95,8.82,-7.87,0.84,5.06,-4.22, ,1.1,1.125, ,-0.7,60,7,11,0.2,0.7,0,-0.3,16.2,4.6,6.1,1.8,0.8,0.1,-12.4,-12.4,2.6,0.6,4.2,-5,0,0,-0.2,-0.2,-0.1,-0.4,0.1,-0.9,0.3,-0.1,-0.1,-0.9,-27.7,-3.6,1.8,1.7,0.1,0
21,Oct 03 '80 ,Lanigan ,SK ,CAN ,73,200,R ,,Sheldon Brookbank ,ANA ,ANA,D ,66,0,9,9,10,114,22,8,3,0,0,0,9,0,0,0,0,0,0,60,89,59,23,19,10,0,0,0,54961,3664,489,1217,1288797,53.1,17.2,21.5,9.7,-0.7,2.6,0,1.9,28.9,4.6,0,-0.2,1.7,0,6,26.1,0.2,1.6,-5,22.9,13.64,33.3,0,52,23,53.9,0,39,19,53.6,0,8,0,57,0,3,4,53.9,37,49,2.5,3.3,10.7,10.1,11.7,12.3,12,7,0.8,0.5,4.5,3.8,4.1,3.8,1.21,-0.072,-0.132,-0.536,-0.743,-0.466,-6.372,-5.7,-9.53,-3.88,9.56,940,1036,2.6,1.93,24.6,30.5,9.4,13.1,2.4,2.95,27.1,29.3,11.3,13.2,11.7,12.3,101,135,92,111,134,158,53.8,266,309,228,46.3,0.5,0.1,39,29,0.67,-0.55,0.14,5.58,1.55,1,-2.33,-6.64,-82.18,-13.7,75.66,0,0,1,0,6.61,0,6.61,6.36,1.3,5.05,0.87,4.89,-3.62,0.33,0.91,-6.91,58.34,-0.48,-86.62,0,0,0,9,0,9.39,-9.39,1.12,6.89,-5.77,UFA ,0.8,0.5,0.55,0.3,56,1,7,-1,2.4,0,0.1,16.7,1.5,4.5,1.1,1.5,0,-2.6,-2.6,0.1,-0.9,3.8,0.3,0.3,0.3,0,-0.1,0,0.2,1.5,0.8,0.1,0,0,0.8,-4.8,-0.3,-0.1,-0.4,0,-0.8
53,Mar 03 '86 ,Prince George ,BC ,CAN ,73,210,L ,,Brett Festerling ,ANA ,ANA,D ,42,0,3,3,1,15,5,1,0,0,0,0,3,0,0,0,0,0,0,25,127,27,18,7,5,0,0,0,30247,1144,9,682,647987,50.9,9.4,11.1,1.1,-1,0.9,0,-0.1,15.8,-1.2,0,0.1,0.5,0,-0.6,13.5,0,1.1,1.7,16.4,11.78,35.83,0,22,16,50.7,0,10,6,50.3,0,4,3,52.4,0,7,7,52.4,17,23,2.1,2.8,10.5,10.3,11.6,12.4,4,4,0.5,0.5,3.2,3.8,4.2,3.5,-0.24,-0.034,0.019,-0.792,-0.402,-0.71,-6.174,-3.4,-7.15,-3.79,8.13,930,1011,2.06,2.06,23.3,27.3,8.9,11.8,2.63,2.39,27.9,30.7,11.4,13.4,11.6,12.4,61,67,34,61,75,81,57.4,144,149,124,49.1,0,0.4,17,17,0,0.24,0.02,5.47,-5.22,0.74,-0.61,-1.35,-82.25,-5.47,79.74,0,0,0,0,0,0,0,6.53,1.31,5.22,0.42,4.82,2.52,0.3,-0.47,0.84,84.72,-2.95,-87.97,0,0,1,2,3.41,6.81,-3.41,0.89,6.81,-5.92, ,0.5,0.525, ,0,45,1,5,-1.1,1.6,0,0.1,19.5,1.5,4.3,1,1.3,0,-2.2,-2.2,-0.3,-0.6,1.7,-1.3,-0.3,-0.3,-0.1,-0.1,0,-0.4,0,-0.1,0,0,0,-0.1,-2.3,-0.8,0,0.1,0,-0.8
5,Sep 25 '77 ,Lahti ,,FIN ,73,210,L ,,Toni Lydman ,BUF ,ANA,D ,67,4,16,20,10,30,15,0,0,0,0,4,14,0,2,0,0,1,0,77,126,98,23,49,10,0,0,0,64861,7145,3726,1622,3801093,76.6,21.8,23.6,6.9,2.2,3.1,0,5.3,47.4,10.5,0.5,0.1,-2.9,0,8.3,26.1,1.4,9.6,2.1,39.1,15.67,31.5,4,55,18,51.3,1,20,11,56.4,1,9,1,45.7,2,22,5,50.9,44,85,2.5,4.9,13.5,12.3,12.2,13,14,3,0.8,0.2,3.9,3.5,3.5,4.1,0.37,-0.016,-0.02,0.076,0.548,1.584,1.266,-1.2,-1.6,-0.4,7.33,940,1014,2.34,1.83,29.6,28.8,9.8,11.7,2.96,2.81,27.7,29.1,11.3,11.3,12.2,13,127,164,136,147,160,180,50.7,362,343,307,51.3,0.2,0.6,41,32,0.51,0.14,0.92,4.68,0.84,0.87,0.66,-4.89,-85.92,10.84,74.41,0,1.9,7,0,6.78,0,6.78,5.94,0,5.94,1.69,3.95,4.69,-0.23,0.72,-4.34,78.24,4.84,-75.5,0,0,3,4,1.59,2.12,-0.53,0.23,5.44,-5.22,UFA ,3,2.875,3.15,-0.7,62,4,15,1.3,3.3,0,-1,13.5,2.1,5.8,1.7,1.5,0,4.3,4.3,0.3,-0.4,-2.1,2.2,0.6,0.6,0.2,0.5,-0.3,1,4.4,-0.4,-0.2,0,0.2,-0.3,-7.7,0.9,-0.3,-0.3,-0.1,0.1
60,Jun 22 '87 ,Regina ,SK ,CAN ,75,205,L ,,Brendan Mikkelson ,ANA ,ANA,D ,28,0,2,2,-5,14,7,0,0,0,0,0,2,0,0,0,0,0,0,21,28,14,11,12,2,0,0,0,23108,1203,849,555,191080,40.5,8.8,9.7,-4.6,-1.2,0,0,-1.2,5.8,-0.5,0.1,0.1,0.5,0,0.3,4.5,0.3,1.2,-0.6,5.5,13.37,32.93,0,16,9,48.4,0,5,2,58.6,0,7,5,48.4,0,4,2,36.5,15,13,2.4,2.1,11.2,9.3,11.3,10.7,6,4,1,0.6,4.2,3.7,4.7,3.7,-1.03,-0.171,0.174,-1.024,-0.865,-1.313,-7.398,-9,-13.46,-4.49,8.38,905,989,2.24,3.21,24.5,30.5,9.5,14.1,2.47,2.41,27.7,30.8,12.1,13.1,11.3,10.7,51,56,47,35,59,59,56.6,127,117,111,52,0.2,0.2,14,20,-0.96,0.07,0.54,5.28,1.4,1.33,-0.96,-4.25,-80.83,0.72,84.22,0,0,2,0,7.89,0,7.89,7.71,1.22,6.49,0.74,5.76,6.33,0.12,-0.08,-0.92,78.82,3.74,-81.63,0,0,1,1,2.91,2.91,0,0.74,7.07,-6.33,RFA ,0.7,0.822,0.625,-0.6,38,1,5,-0.8,1.1,0,-0.1,21,1.6,4.5,1,1.2,0,-1,-1,-0.5,-1.6,1.7,-1.5,0.1,0.1,0,-0.1,0,-0.1,2.4,1.2,0.2,-0.1,-0.1,1.2,-0.7,0.9,0,-0.1,0,0.7
